,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
4047,1003,Dordrecht,BU05050102,1.0,,,,0.0,110.0,245.0,175.0,645.0,2020.0,1680.0,320.0
7458,1002,'s-Hertogenbosch,BU07961302,1.0,3.0,45.0,30.0,0.0,50.0,50.0,235.0,730.0,320.0,270.0,70.0
12120,1004,Rijswijk,BU06030962,2.0,20.0,10.0,39.0,0.0,55.0,0.0,65.0,230.0,770.0,730.0,40.0
2757,1001,Borne,BU01470006,1.0,91.0,17.0,336.0,2.0,95.0,120.0,200.0,1095.0,10150.0,7380.0,2780.0
10842,1005,Nuth,BU09510003,1.0,31.0,,,0.0,75.0,75.0,270.0,995.0,3380.0,2530.0,850.0
12609,1007,Schouwen-Duiveland,BU16760708,1.0,4.0,19.0,17.0,0.0,30.0,0.0,210.0,505.0,280.0,240.0,40.0
7288,1005,Hengelo,BU01640300,1.0,126.0,13.0,368.0,4.0,120.0,70.0,230.0,645.0,7200.0,6030.0,1180.0
8888,1004,Leeuwarderadeel,BU00810009,1.0,11.0,15.0,36.0,0.0,120.0,75.0,210.0,720.0,870.0,710.0,160.0
1179,1002,Amsterdam,BU03635504,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
6874,1006,Heerhugowaard,BU03981400,1.0,140.0,13.0,434.0,1.0,95.0,85.0,260.0,680.0,14040.0,11680.0,2380.0
4720,1008,Eindhoven,BU07721541,1.0,50.0,13.0,153.0,0.0,85.0,250.0,260.0,1120.0,14380.0,10370.0,4010.0
9354,1000,Lisse,WK055309,1.0,53.0,11.0,126.0,0.0,95.0,40.0,100.0,1200.0,9160.0,6400.0,2760.0
